Gene,plot,species,clusters,plotType,plotNumber,groupBy
CACNA1A,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA1B,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA1C,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA1D,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA1E,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA1F,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA1G,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA1H,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA1S,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA2D1,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA2D2,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA2D3,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNA2D4,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNB1,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNB2,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNB3,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNB4,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNG1,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNG2,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNG3,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNG4,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNG5,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNG6,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNG7,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CACNG8,HGNC_Ca_Channels_VoltageDep,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
KCNA1,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNA2,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNA3,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNA4,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNA5,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNA6,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNA7,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNB1,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNC1,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNC2,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNC3,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCNC4,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
KCND1,HGNC_K_Channels_VoltageGated,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,2,cluster
