Gene,plot,species,clusters,plotType,plotNumber,groupBy
MOG,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
PDGFRA,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
AQP4,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
ITGAM,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
SLC17A7,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
EGF,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
ARHGEF28,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
EDNRA,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
SNCG,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
TAC3,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
TSPAN12,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
PAX6,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
MC4R,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
BAGE2,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
SEMA3C,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
LAMP5,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CNR1,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
NDNF,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
RELN,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CXCL14,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
CCK,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
LHX6,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
SST,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
VIP,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
PVALB,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
GAD1,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
SNAP25,Figure1D,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,1,cluster
TXLNB,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
SSTR2,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
SOX13,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
ROR2,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
PMEPA1,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
KIRREL,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
HRH1,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
EYA4,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
CDCA7,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
ARHGAP31,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
TOX,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
PDGFRA,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
PRSS12,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
NTNG1,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
LAMP5,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
TRPC3,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
SV2C,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
NDNF,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
CPLX3,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
CNR1,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
CCK,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
CALB2,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
CXCL14,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
VIP,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
PVALB,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
SST,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
GAD1,Figure3B,human,"4,3,7,5,8,10,18,9,13,14,22",violin,2,cluster
Txlnb,Figure3B,mouse,"1,2,3,23",violin,3,final
Sstr2,Figure3B,mouse,"1,2,3,23",violin,3,final
Sox13,Figure3B,mouse,"1,2,3,23",violin,3,final
Ror2,Figure3B,mouse,"1,2,3,23",violin,3,final
Pmepa1,Figure3B,mouse,"1,2,3,23",violin,3,final
Kirrel,Figure3B,mouse,"1,2,3,23",violin,3,final
Hrh1,Figure3B,mouse,"1,2,3,23",violin,3,final
Eya4,Figure3B,mouse,"1,2,3,23",violin,3,final
Cdca7,Figure3B,mouse,"1,2,3,23",violin,3,final
Arhgap31,Figure3B,mouse,"1,2,3,23",violin,3,final
Tox,Figure3B,mouse,"1,2,3,23",violin,3,final
Pdgfra,Figure3B,mouse,"1,2,3,23",violin,3,final
Prss12,Figure3B,mouse,"1,2,3,23",violin,3,final
Ntng1,Figure3B,mouse,"1,2,3,23",violin,3,final
Lamp5,Figure3B,mouse,"1,2,3,23",violin,3,final
Trpc3,Figure3B,mouse,"1,2,3,23",violin,3,final
Sv2c,Figure3B,mouse,"1,2,3,23",violin,3,final
Ndnf,Figure3B,mouse,"1,2,3,23",violin,3,final
Cplx3,Figure3B,mouse,"1,2,3,23",violin,3,final
Cnr1,Figure3B,mouse,"1,2,3,23",violin,3,final
Cck,Figure3B,mouse,"1,2,3,23",violin,3,final
Calb2,Figure3B,mouse,"1,2,3,23",violin,3,final
Cxcl14,Figure3B,mouse,"1,2,3,23",violin,3,final
Vip,Figure3B,mouse,"1,2,3,23",violin,3,final
Pvalb,Figure3B,mouse,"1,2,3,23",violin,3,final
Sst,Figure3B,mouse,"1,2,3,23",violin,3,final
Gad1,Figure3B,mouse,"1,2,3,23",violin,3,final
TXLNB,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
SSTR2,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
SOX13,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
ROR2,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
PMEPA1,FigureS2B,human,"4,3,7,5,8,10,18,9,13,14,22,1,12,6,15,19",violin,4,cluster
